IP,SM,Comment
192.168.0.80,255.255.255.0,일반 로봇
110.111.112.80,255.255.255.0,KCTECH
10.1.1.80,255.255.255.0,NEXTIN
100.100.100.80,255.255.255.0,INNOMAX
